"","n_unique_temps","curve_ID","study_ID","species_ID","given_trait_name","Trait.Group","Trait.motivation","organization","curve_type","land_or_sea","abs_latitude","habitat_water","dataset_type","topt_TF","thermal_min_TF","thermal_max_TF","increasing_side_TF","decreasing_side_TF","n_unique_temps_capped"
"1",4,1,"1_0008","SP7","routine-metabolism","Metabolism","autonomic","internal","batch-acclim","oceanic",54.4833,"marine","unbounded_increasing",FALSE,FALSE,FALSE,TRUE,FALSE,"4"
"2",4,111,"1_0009","SP8","critical-swimming-speed","Locomotion","negative","individual","batch-acclim","terrestrial",34.872548,"freshwater","irregular",FALSE,FALSE,FALSE,FALSE,FALSE,"4"
"3",4,222,"1_0009","SP8","resting-metabolism","Metabolism","autonomic","internal","batch-acclim","terrestrial",34.872548,"freshwater","unbounded_increasing",FALSE,FALSE,FALSE,TRUE,FALSE,"4"
"4",4,333,"1_0009","SP8","maximum-metabolism","Metabolism","negative","internal","batch-acclim","terrestrial",34.872548,"freshwater","unbounded_increasing",FALSE,FALSE,FALSE,TRUE,FALSE,"4"
"5",4,361,"1_0009","SP8","aerobic-scope","Metabolism","voluntary","internal","batch-acclim","terrestrial",34.872548,"freshwater","irregular",FALSE,FALSE,FALSE,FALSE,FALSE,"4"
"6",4,372,"1_0011","SP10","critical-swimming-speed","Locomotion","negative","individual","batch-acclim","terrestrial",27.7,"freshwater","unbounded_increasing",FALSE,FALSE,FALSE,TRUE,FALSE,"4"
"7",4,405,"1_0011","SP10","critical-swimming-speed","Locomotion","negative","individual","batch-acclim","terrestrial",27.7,"freshwater","unbounded_increasing",FALSE,FALSE,FALSE,TRUE,FALSE,"4"
"8",4,383,"1_0011","SP10","maximum-swimming-speed","Locomotion","negative","individual","batch-acclim","terrestrial",27.7,"freshwater","unbounded_increasing",FALSE,FALSE,FALSE,TRUE,FALSE,"4"
"9",4,2,"1_0011","SP10","maximum-swimming-speed","Locomotion","negative","individual","batch-acclim","terrestrial",27.7,"freshwater","unbounded_increasing",FALSE,FALSE,FALSE,TRUE,FALSE,"4"
"10",4,13,"1_0011","SP10","tail-beat-frequency","Locomotion","negative","individual","batch-acclim","terrestrial",27.7,"freshwater","unbounded_increasing",FALSE,FALSE,FALSE,TRUE,FALSE,"4"
"11",4,394,"1_0011","SP10","routine-metabolism","Metabolism","autonomic","internal","batch-acclim","terrestrial",27.7,"freshwater","unbounded_increasing",FALSE,FALSE,FALSE,TRUE,FALSE,"4"
"12",4,24,"1_0013","SP12","prey-capture-rate","Energy Aquisition","positive","interaction","batch-acclim","terrestrial",55.576349,"freshwater","unbounded_increasing",FALSE,FALSE,FALSE,TRUE,FALSE,"4"
