species_ID,gen_spp,species_name,kingdom,subkingdom,infrakingdom,phylum,subphylum,infraphylum,superclass,class,superorder,order,suborder,family,subfamily,genus,tribe,superfamily,subclass,wormsid_species
SP46,Albula vulpes,Albula vulpes,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Elopomorpha,Albuliformes,Albuloidei,Albulidae,Albulinae,Albula,NA,NA,NA,161121
SP91,Alosa aestivalis,Alosa aestivalis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Clupeomorpha,Clupeiformes,Clupeoidei,Clupeidae,Alosinae,Alosa,NA,NA,NA,161703
SP66,Ameiurus nebulosus,Ameiurus nebulosus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Siluriformes,NA,Ictaluridae,NA,Ameiurus,NA,NA,NA,164043
SP33,Anguilla rostrata,Anguilla rostrata,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Elopomorpha,Anguilliformes,Anguilloidei,Anguillidae,NA,Anguilla,NA,NA,NA,161127
SP74,Anoplopoma fimbria,Anoplopoma fimbria,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Scorpaeniformes,Anoplopomatoidei,Anoplopomatidae,NA,Anoplopoma,NA,NA,NA,167123
SP15,Aphanius dispar,aphanius dispar,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Cyprinodontoidei,Cyprinodontidae,Cyprinodontinae,Aphanius,Orestiini,NA,NA,165722
SP87,Megalebias wolterstorffi,Megalebias wolterstorffi,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Aplocheiloidei,Aplocheilidae,Rivulinae,Megalebias,NA,NA,NA,647389
SP92,Bathygobius cocosensis,Bathygobius cocosensis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Gobioidei,Gobiidae,NA,Bathygobius,NA,NA,NA,553398
SP61,Betta rubra,Betta rubra,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Anabantoidei,Osphronemidae,Macropodinae,Betta,NA,NA,NA,638726
SP56,Boreogadus saida,Boreogadus saida,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Gadiformes,NA,Gadidae,Gadinae,Boreogadus,NA,NA,NA,164706
SP84,Campostoma anomalum,campostoma anomalum,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Leuciscidae,Pogonichthyinae,Campostoma,NA,Cyprinoidea,NA,163508
SP69,Chirostoma estor,Chirostoma estor,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Atheriniformes,NA,Atherinopsidae,Menidiinae,Chirostoma,NA,NA,NA,630719
SP83,Chrosomus erythrogaster,chrosomus erythrogaster,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Leuciscidae,Laviniinae,Chrosomus,NA,Cyprinoidea,NA,913994
SP26,Clupea harengus,Clupea harengus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Clupeomorpha,Clupeiformes,Clupeoidei,Clupeidae,Clupeinae,Clupea,NA,NA,NA,161722
SP49,Coregonus clupeaformis,Coregonus clupeaformis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Coregoninae,Coregonus,NA,NA,NA,161941
SP64,Coregonus hoyi,Coregonus hoyi,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Coregoninae,Coregonus,NA,NA,NA,623394
SP5,Dicentrarchus labrax,dicentrarchus labrax,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Moronidae,NA,Dicentrarchus,NA,NA,NA,170317
SP40,Eleginops maclovinus,Eleginops maclovinus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Nototheniidae,NA,Eleginops,NA,NA,NA,642813
SP57,Eleginus gracilis,Eleginus gracilis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Gadiformes,NA,Gadidae,Gadinae,Eleginus,NA,NA,NA,164708
SP45,Fundulus heteroclitus,Fundulus heteroclitus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Cyprinodontoidei,Fundulidae,NA,Fundulus,NA,NA,NA,165647
SP70,Fundulus diaphanus,Fundulus diaphanus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Cyprinodontoidei,Fundulidae,NA,Fundulus,NA,NA,NA,165646
SP76,Fundulus heteroclitus,fundulus heteroclitus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Cyprinodontoidei,Fundulidae,NA,Fundulus,NA,NA,NA,165647
SP9,Gadus morhua,gadus morhua,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Gadiformes,NA,Gadidae,Gadinae,Gadus,NA,NA,NA,164712
SP58,Gadus macrocephalus,Gadus macrocephalus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Gadiformes,NA,Gadidae,Gadinae,Gadus,NA,NA,NA,164711
SP59,Gadus chalcogrammus,Gadus chalcogrammus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Gadiformes,NA,Gadidae,Gadinae,Gadus,NA,NA,NA,934083
SP19,Gambusia holbrooki,Gambusia holbrooki,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,NA,Poeciliidae,Poeciliinae,Gambusia,NA,NA,NA,165896
