,gen_spp,species_name,kingdom,subkingdom,infrakingdom,phylum,subphylum,infraphylum,superclass,class,superorder,order,suborder,family,subfamily,genus,tribe,superfamily,na,subclass,wormsid_species,alpha_ID,species_ID
1,Albula vulpes,Albula vulpes,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Elopomorpha,Albuliformes,Albuloidei,Albulidae,Albulinae,Albula,NA,NA,NA,NA,161121,,SP46
2,Alosa aestivalis,Alosa aestivalis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Clupeomorpha,Clupeiformes,Clupeoidei,Clupeidae,Alosinae,Alosa,NA,NA,NA,NA,161703,,SP91
3,Ameiurus nebulosus,Ameiurus nebulosus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Siluriformes,NA,Ictaluridae,NA,Ameiurus,NA,NA,NA,NA,164043,,SP66
4,Anguilla rostrata,Anguilla rostrata,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Elopomorpha,Anguilliformes,Anguilloidei,Anguillidae,NA,Anguilla,NA,NA,NA,NA,161127,,SP33
5,Anoplopoma fimbria,Anoplopoma fimbria,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Scorpaeniformes,Anoplopomatoidei,Anoplopomatidae,NA,Anoplopoma,NA,NA,NA,NA,167123,,SP74
6,Aphanius dispar,aphanius dispar,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Cyprinodontoidei,Cyprinodontidae,Cyprinodontinae,Aphanius,Orestiini,NA,NA,NA,165722,,SP15
7,Megalebias wolterstorffi,Megalebias wolterstorffi,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Aplocheiloidei,Aplocheilidae,Rivulinae,Megalebias,NA,NA,NA,NA,647389,,SP87
8,Bathygobius cocosensis,Bathygobius cocosensis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Gobioidei,Gobiidae,NA,Bathygobius,NA,NA,NA,NA,553398,,SP92
9,Betta rubra,Betta rubra,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Anabantoidei,Osphronemidae,Macropodinae,Betta,NA,NA,NA,NA,638726,,SP61
10,Boreogadus saida,Boreogadus saida,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Gadiformes,NA,Gadidae,Gadinae,Boreogadus,NA,NA,NA,NA,164706,,SP56
11,Campostoma anomalum,campostoma anomalum,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Leuciscidae,Pogonichthyinae,Campostoma,NA,Cyprinoidea,NA,NA,163508,,SP84
12,Chirostoma estor,Chirostoma estor,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Atheriniformes,NA,Atherinopsidae,Menidiinae,Chirostoma,NA,NA,NA,NA,630719,,SP69
