species_ID,phylum,class,order,family,genus,species,subspecies,common_name,habitat,water,IUCN-status-global,COSEWIC-status,species_notes
SP36,chordata,Actinopterygii,Acipenseriformes,Acipenseridae,acipenser,sturio,,European-sturgeon,,,,,
SP46,chordata,Actinopterygii,Albuliformes,Albulidae,Albula,vulpes,,Bonefish,reef,marine,,,
SP91,,,,,Alosa,aestivalis,,blueback-herring,,,,,
SP66,n/a,n/a,n/a,n/a,Ameiurus,nebulosus,,brown-bullhead,,,,,
SP31,chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas,minor,,spotted-wolffish,,,NT,,
SP33,chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,rostrata,,american-eel,mixed,mixed,EN,,
SP74,n/a,n/a,n/a,n/a,Anoplopoma,fimbria,,sablefish,ocean,marine,,,
SP15,chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,aphanius,dispar,,arabian-toothcarp,,,LC,,
SP37,chordata,Actinopterygii,Atheriniformes,Atherinidae,atherina,presbyter,,sand-smelt,,,,,
SP87,,,,,Austrolebias,wolterstorff,,,wetlands,,,,
SP92,,,,,Bathygobius,cocosensis,,,intertidal,marine,,,
SP61,n/a,n/a,n/a,n/a,Betta,rubra,,cupang,,,,,
SP56,n/a,n/a,n/a,n/a,Boreogadus,saida,,Arctic-cod,,,,,
SP84,,,,,campostoma,anomalum,,stoneroller,stream,freshwater,,,
SP69,n/a,n/a,n/a,n/a,Chirostoma,estor,,white fish,lake,freshwater,,,
SP83,,,,,chrosomus,erythrogaster,,redbelly-dace,stream,freshwater,,,
SP26,chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,harengus,,Atlantic-herring,ocean,marine,LC,,
SP49,chordata,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,clupeaformis,,lake-whitefish,lake,freshwater,,,
SP54,n/a,n/a,n/a,n/a,Coregonus,peled,,peled-whitefish,mixed,mixed,,,
SP64,n/a,n/a,n/a,n/a,Coregonus,hoyi,,bloater,,,,,
SP6,chordata,Actinopterygii,Perciformes,Coryphaenidae,Coryphaena,hippurus,,mahi-mahi,ocean,marine,LC,,
SP24,chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,carpio,,common-carp,,,VU,,
SP5,chordata,Actinopterygii,Eupercaria incertae sedis,Moronidae,dicentrarchus,labrax,,European-sea-bass,mixed,mixed,LC,,"species in (Kontopoulos et al., 2024)"
SP40,chordata,Actinopterygii,Perciformes,Eleginopsidae,Eleginops,maclovinus,,Patagonian-blennie,,,,,
SP57,n/a,n/a,n/a,n/a,Eleginus,gracilis,,Saffron-cod,,,,,
SP45,chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,,Mummichog,mixed,mixed,,,northern and southern subspecies
SP70,n/a,n/a,n/a,n/a,Fundulus,diaphanus,,banded-killfish,,,,,
SP76,,,,,fundulus,heteroclitus,macrolepidotus,,,,,,
SP9,chordata,Actinopterygii,Gadiformes,Gadidae,gadus,morhua,,Atlantic-cod,ocean,marine,VU,,
SP58,n/a,n/a,n/a,n/a,Gadus,macrocephalus,,Pacific-cod,,,,,
SP59,n/a,n/a,n/a,n/a,Gadus,chalcogrammus,,Walleye-pollock,,,,,
SP19,chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,holbrooki,,eastern-mosquitofish,,,LC,,
SP71,n/a,n/a,n/a,n/a,Garra,rufa,,doctor fish,river,freshwater,,,
SP30,chordata,Actinopterygii,Cichliformes,Cichlidae,geophagus,brasiliensis,,pearl-cichlid,,freshwater,LC,,
SP16,chordata,Actinopterygii,Cypriniformes,Cyprinidae,gobiocypris,rarus,,rare-minnow,river,freshwater,EN,,
SP63,n/a,n/a,n/a,n/a,Gymnocephalus,cernuus,,ruffe,,,,,
SP67,n/a,n/a,n/a,n/a,Harpagifer,antarcticus,,n/a,,,,,
SP38,chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,hippoglossus,hippoglossus,,atlantic-halibut,ocean,,,,
SP8,chordata,Actinopterygii,Cypriniformes,Catostomidae,ictiobus,bubalus,,smallmouth-buffalo,,,LC,,
SP3,chordata,Actinopterygii,Cypriniformes,Cyprinidae,labeo,rohita,,rohu,river,freshwater,LC,,high commercial value
SP52,chordata,Actinopterygii,Siluriformes,Bagridae,Tachysurus,dumerili,,longirostris,river,freshwater,,,
SP77,,,,,Lepidomeda,copei,,leatherside chub,river/creek,freshwater,,,
SP86,,,,,Lepidopsetta,polyxystra,,northern rock sole,ocean,marine,,,
SP42,chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,macrochirus,,bluegill-sunfish,lake,freshwater,LC,,
SP60,n/a,n/a,n/a,n/a,Lota,lota,,burbot,,,,,
SP82,,,,,Lutjanus,griseus,,gray-snapper,ocean,marine,,,
