curve_ID,response_type,new name,response_type_group,treatment_1_type,treatment_1_group,treatment_2_type,treatment_2_group,experiment_design_notes
144,maximum ventilation rate,maximum-ventilation-rate,cardiac,NA,NA,NA,NA,NA
146,resting ventilation rate,resting-ventilation-rate,cardiac,NA,NA,NA,NA,NA
247,heart-rate,resting-heart-rate,cardiac,Acclimation,11,NA,NA,"After hatching, \~2500 larvae were reared in 90 L tanks at three target temperatures (7, 11, 15 °C; 2 replicates each), with controlled salinity (16.5), photoperiod (14L:10D), and a staged diet of algae, copepods, and Artemia. Weekly, 20 larvae per tank were sampled for body length and morphometrics. For cardiac assays, larvae were exposed to acute temperature challenges (7–27 °C in 2 °C steps for 10 min), anesthetized, and heart rate recorded under a stereomicroscope. Heart rate was determined from video recordings (timing 20 beats at three intervals), with 6–15 larvae tested per temperature across two trials."
248,heart-rate,resting-heart-rate,cardiac,Acclimation,15,NA,NA,"After hatching, \~2500 larvae were reared in 90 L tanks at three target temperatures (7, 11, 15 °C; 2 replicates each), with controlled salinity (16.5), photoperiod (14L:10D), and a staged diet of algae, copepods, and Artemia. Weekly, 20 larvae per tank were sampled for body length and morphometrics. For cardiac assays, larvae were exposed to acute temperature challenges (7–27 °C in 2 °C steps for 10 min), anesthetized, and heart rate recorded under a stereomicroscope. Heart rate was determined from video recordings (timing 20 beats at three intervals), with 6–15 larvae tested per temperature across two trials."
249,heart-rate,resting-heart-rate,cardiac,Acclimation,7,NA,NA,"After hatching, \~2500 larvae were reared in 90 L tanks at three target temperatures (7, 11, 15 °C; 2 replicates each), with controlled salinity (16.5), photoperiod (14L:10D), and a staged diet of algae, copepods, and Artemia. Weekly, 20 larvae per tank were sampled for body length and morphometrics. For cardiac assays, larvae were exposed to acute temperature challenges (7–27 °C in 2 °C steps for 10 min), anesthetized, and heart rate recorded under a stereomicroscope. Heart rate was determined from video recordings (timing 20 beats at three intervals), with 6–15 larvae tested per temperature across two trials."
293,maximum-heart-rate,maximum-heart-rate,cardiac,NA,NA,NA,NA,NA
294,initial heart rate,resting-heart-rate,cardiac,NA,NA,NA,NA,"Fish were collected and held in common tanks and fed, then they were acclimated at 8 test temperatures fo 14 days before running experiments on their oxygen consumption rate and critical oxygen limit."
295,maximum-heart-rate,maximum-heart-rate,cardiac,NA,NA,NA,NA,"Fish were collected and held in common tanks and fed, then they were acclimated at 8 test temperatures fo 14 days before running experiments on their oxygen consumption rate and critical oxygen limit."
309,resting-cardiac-output,resting-cardiac-output,cardiac,resting or swimming,resting,NA,NA,blood flow measurement during oxygen consumption experiment
305,active-cardiac-output,active-cardiac-output,cardiac,resting or swimming,swimming,NA,NA,blood flow measurement during oxygen consumption experiment
