Trait Group,Trait Name,Trait Unit,Trait Definition,Trait motivation,organization,,,,
metabolism,resting-cardiac-output,ml/min/kg,"Rate of blood flow pumped by the heart in an unstressed, minimally active fish",autonomic,internal,,,,
metabolism,active-cardiac-output,ml/min/kg,Rate of blood flow pumped by the heart in a fish during voluntary or forced swimming,autonomic,internal,,,,
metabolism,resting-heart-rate,beats/min,"Frequency of heart contractions measured in an unstressed, minimally active fish",autonomic,internal,,,,
metabolism,active-heart-rate,beats/min,Frequency of heart contractions measured in a fish during voluntary activity or moderate exercise,autonomic,internal,,,,
metabolism,maximum-ventilation-rate,breaths/min,Highest frequency of opercular movements a fish achieves during sustained swimming at its maximum sustainable speed,negative,internal,,,,
metabolism,maximum-heart-rate,beats/min,Highest frequency of heart contractions a fish can achieve under full cardiac stimulation,negative,internal,,,,
metabolism,resting-ventilation-rate,breaths/min,Frequency of opercular movements measured in a fish at rest,autonomic,internal,,,,
,,,,,,,,,
Energy aquisition,absorption-efficiency,%,The proportion of ingested food energy that is absorbed across the gut rather than lost in faeces,autonomic,internal,,,,
Energy aquisition,absorption-rate,mg/day; J/g/day,"Rate at which ingested food energy is taken up across the gut and made available to the organism, quantified as consumed energy minus that lost in faeces per unit time (often standardized by body mass)",autonomic,internal,,,,
Energy aquisition,capture-manuever-time,s,The duration between the initiation of a prey-directed approach and the moment the fish closes its jaws around the prey during a capture attempt,positive,interaction,,,,
Energy aquisition,consumption-rate,g of prey/day; %; % bw/day; mg/day,"The quantity of food consumed per unit time, expressed as total mass or energy (mg/day, J/day), and can be relative to body mass (g /g/day, % BW /ay)",positive,interaction,,,,
Energy aquisition,conversion-efficiency,%,"The proportion of ingested food converted into new body biomass, expressed as growth in tissue mass relative to the total amount of food consumed",autonomic,internal,,,,
